,precision,recall,f1-score,support
0,0.9351081530782029,0.9493243243243243,0.942162615255658,592.0
1,0.9499165275459098,0.9358552631578947,0.9428334714167357,608.0
accuracy,0.9425,0.9425,0.9425,0.9425
macro avg,0.9425123403120563,0.9425897937411095,0.9424980433361969,1200.0
weighted avg,0.9426110628085079,0.9425,0.9425025157106041,1200.0
